t,tx_x,tx_y,rx_x,rx_y,relay_available
79.8,-3172.02905731743,821.981865323681,-3134.7714539697,815.861084856559,0
80,-3167.67409590318,821.270278024655,-3130.58479984597,815.087973503998,0
80.2,-3163.31913448893,820.558690725629,-3126.42532713381,814.16189691438,0
80.4,-3158.96417307468,819.847103426604,-3122.26269150648,813.235116124522,0
80.6,-3154.60921166043,819.135516127578,-3118.09687710536,812.307627603611,0
80.8,-3150.25425024618,818.423928828552,-3113.92786842038,811.379427898447,0
81,-3145.89928883193,817.712341529526,-3109.75565029178,810.450513633816,0
81.2,-3141.54432741768,817.0007542305,-3105.59786394001,809.448361491807,0
81.4,-3137.18981183346,816.286539075731,-3101.45922779759,808.353546659178,0
81.6,-3132.84383980263,815.521965658114,-3097.32277156262,807.2376586623,0
81.8,-3128.52343586372,814.629025685669,-3093.18308430356,806.12089903502,0
82,-3124.21618544622,813.670047456145,-3089.04015278179,805.003264205973,0
82.2,-3119.90893502872,812.711069226621,-3084.89396411449,803.884750699767,0
82.4,-3115.60168461123,811.752090997098,-3080.74450577599,802.765355137369,0
82.6,-3111.29443419373,810.793112767574,-3076.59176559921,801.645074236473,0
82.8,-3106.99137335397,809.816926349368,-3072.43573177693,800.523904811858,0
83,-3102.72534850124,808.688619050942,-3068.27639286313,799.401843775743,0
83.2,-3098.46332195586,807.545343893656,-3064.11373777425,798.27888813812,0
83.4,-3094.20291198483,806.396017011319,-3059.94778121333,797.154940934216,0
83.6,-3089.9425020138,805.246690128983,-3055.7794674403,796.026467001908,0
83.8,-3085.68209204276,804.097363246646,-3051.60978954326,794.889806552256,0
84,-3081.42168207173,802.94803636431,-3047.43804936641,793.747485811094,0
84.2,-3077.1612721007,801.798709481973,-3043.26294652679,792.604244293645,0
84.4,-3072.90086212967,800.649382599637,-3039.0844721487,791.460079569532,0
84.6,-3068.64045215864,799.5000557173,-3034.90261772615,790.314989309619,0
