t,tx_x,tx_y,rx_x,rx_y,relay_available
56.8,-352.241722220318,-162.296837346111,-304.934287100932,-178.166692727702,0
57,-348.048449910126,-163.703521622493,-300.920934617041,-179.513020706665,0
57.2,-343.855177599935,-165.110205898876,-296.908071671179,-180.859184464132,0
57.4,-339.661905289744,-166.516890175258,-292.895678479426,-182.205190636862,0
57.6,-335.468632979553,-167.92357445164,-288.883735206348,-183.551045878892,0
57.8,-331.275360669361,-169.330258728022,-284.872221967173,-184.89675686081,0
58,-327.08208835917,-170.736943004404,-280.86111882997,-186.242330269023,0
58.2,-322.888816048978,-172.143627280786,-276.850405817836,-187.587772805029,0
58.4,-318.695543738787,-173.550311557168,-272.840062911089,-188.933091184675,0
58.6,-314.502271428596,-174.956995833551,-268.830070049456,-190.278292137423,0
58.8,-310.308999118404,-176.363680109932,-264.820407134281,-191.623382405612,0
59,-306.115726808211,-177.770364386308,-260.811054030726,-192.96836874372,0
59.2,-301.922454498016,-179.17704866268,-256.801990569976,-194.31325791762,0
59.4,-297.729182187821,-180.583732939051,-252.793196551455,-195.658056703842,0
59.6,-293.535909877626,-181.990417215423,-248.78465174504,-197.002771888828,0
59.8,-289.342637567431,-183.397101491794,-244.776335893277,-198.347410268187,0
60,-285.149365257236,-184.803785768166,-240.768228713608,-199.691978645949,0
60.2,-280.956092947041,-186.210470044535,-236.760310200691,-201.036484728416,0
60.4,-276.762820636845,-187.617154320903,-232.75256009037,-202.380935518877,0
60.6,-272.569548326649,-189.023838597271,-228.744967320114,-203.725365511042,0
60.8,-268.376276016452,-190.430522873639,-224.737501888656,-205.069752797459,0
61,-264.183003706256,-191.837207150007,-220.730143417535,-206.414104201816,0
61.2,-259.98973139606,-193.243891426375,-216.722871520386,-207.758426563141,0
61.4,-255.796459085864,-194.650575702743,-212.715665801351,-209.102726723646,0
61.6,-251.603186775668,-196.057259979111,-208.708537772951,-210.447106644575,0
61.8,-247.409914465472,-197.463944255479,-204.701576132744,-211.791898334553,0
62,-243.216642155276,-198.870628531847,-200.694663489782,-213.136819578331,0
62.2,-239.02336984508,-200.277312808215,-196.68775162296,-214.481794367469,0
62.4,-234.830098153889,-201.683998929812,-192.680803892945,-215.826781194579,0
62.6,-230.636831626077,-203.090700443042,-188.673799895092,-217.171786908759,0
62.8,-226.443570103553,-204.497416876639,-184.666732280304,-218.516857231689,0
63,-222.250308581028,-205.904133310236,-180.659589900486,-219.862026539805,0
63.2,-218.057047058503,-207.310849743834,-176.652374958799,-221.207368934331,0
63.4,-213.863785535979,-208.717566177431,-172.64502635905,-222.55276992883,0
63.6,-209.670524013454,-210.124282611028,-168.637519608847,-223.898224019727,0
63.8,-205.477433858192,-211.531509761995,-164.629834374526,-225.243738033714,0
64,-201.284388476156,-212.938870318262,-160.621950341998,-226.58931879091,0
64.2,-197.091370995254,-214.346314002992,-156.613847218973,-227.934973104116,0
64.4,-192.898353514352,-215.753757687723,-152.605504737188,-229.280707778065,0
64.6,-188.70533603345,-217.161201372453,-148.596902654626,-230.62652960868,0
64.8,-184.51233296364,-218.568687988444,-144.588020757742,-231.972445382325,0
65,-180.319352482636,-219.976241897446,-140.578838863671,-233.318461875062,0
65.2,-176.126423267353,-221.383948513351,-136.56933682245,-234.664585851909,0
65.4,-171.93349405207,-222.791655129256,-132.559482447491,-236.010788107953,0
65.6,-167.740564836786,-224.199361745161,-128.549238047068,-237.357022916414,0
65.8,-163.547635621503,-225.607068361066,-124.538603050533,-238.703354990321,0
66,-159.35470640622,-227.014774976971,-120.527565678092,-240.049815519334,0
66.2,-155.161777190937,-228.422481592876,-116.516107973691,-241.396417149099,0
66.4,-150.968847975654,-229.830188208782,-112.504210030748,-242.743166562035,0
66.6,-146.775918760371,-231.237894824687,-108.491739074223,-244.089733953725,0
66.8,-142.582989545087,-232.645601440592,-104.478657752005,-245.436073679417,0
67,-138.390060329804,-234.053308056497,-100.464798622429,-246.781751775902,0
67.2,-134.197131114521,-235.461014672402,-96.450420065005,-248.127604014692,0
67.4,-130.004163219624,-236.868606073093,-92.4355024337012,-249.473636982274,0
67.6,-125.811184004049,-238.276163751552,-88.4200261416027,-250.819857245317,0
67.8,-121.61819836202,-239.683702286221,-84.4039527407548,-252.166214906969,0
68,-117.425212719991,-241.09124082089,-80.387229945904,-253.512618550777,0
68.2,-113.232227077962,-242.498779355559,-76.369742487078,-254.858788616829,0
68.4,-109.039160618678,-243.906077070002,-72.3516186192294,-256.20517192929,0
68.6,-104.845929095688,-245.312882925632,-68.3328390820552,-257.551774941857,0
68.8,-100.652416709696,-246.718851324643,-64.313384687154,-258.898604084133,0
69,-96.4588861976134,-248.124765676613,-60.2932363201302,-260.245665760924,0
69.2,-92.2653556855311,-249.530680028582,-56.2723749426901,-261.592966351536,0
69.4,-88.0718251734488,-250.936594380551,-52.2507815947293,-262.940512209076,0
69.6,-83.8782720677834,-252.342441338546,-48.2284373964121,-264.288309659752,0
69.8,-79.6846363846467,-253.748041916863,-44.2053235502426,-265.636365002186,0
70,-75.4908780088733,-255.153276419168,-40.181421343125,-266.984684506716,0
70.2,-71.2971196330998,-256.558510921473,-36.1567121484164,-268.333274414714,0
70.4,-67.1033612573264,-257.963745423778,-32.1311774279688,-269.682140937897,0
70.6,-62.9096028815529,-259.368979926083,-28.1047987341632,-271.03129025765,0
70.8,-58.7158445057793,-260.774214428388,-24.0775577119308,-272.380728524344,0
71,-54.5220861300058,-262.179448930693,-20.0494361007675,-273.730461856666,0
71.2,-50.3283277542324,-263.584683432998,-16.0204157367356,-275.080496340945,0
