Seed,Baseline,Metric,BaselineValue,V6Value,Delta
5,Confidence-heuristic,LossRate,0.321131447587354,0.316139767054909,-0.00499168053244503
5,Confidence-heuristic,AvgDelay_s,0.0406820114268055,0.0412826579410548,0.000600646514249299
5,Confidence-heuristic,AvgTxCost,3.30322795341098,3.32149750415973,0.0182695507487498
5,Link-delay-aware,TimelyRate,0.613976705490849,0.600665557404326,-0.013311148086523
5,Link-delay-aware,EmergencyTimelyRate,0.575091575091575,0.56043956043956,-0.014652014652015
5,Link-delay-aware,LossRate,0.336106489184692,0.316139767054909,-0.019966722129783
5,Link-delay-aware,AvgDelay_s,0.0401594432911889,0.0412826579410548,0.00112321464986589
5,Link-delay-aware,AvgTxCost,2.84199667221298,3.32149750415973,0.47950083194675
6,Confidence-heuristic,TimelyRate,0.622296173044925,0.62396006655574,0.00166389351081497
6,Confidence-heuristic,EmergencyTimelyRate,0.584249084249084,0.586080586080586,0.00183150183150205
6,Confidence-heuristic,LossRate,0.317803660565724,0.311148086522463,-0.006655574043261
6,Confidence-heuristic,AvgDelay_s,0.0402879855743761,0.0406140595670221,0.000326073992645996
6,Confidence-heuristic,AvgTxCost,3.37535773710483,3.32249584026622,-0.0528618968386096
6,Link-delay-aware,TimelyRate,0.628951747088186,0.62396006655574,-0.00499168053244603
6,Link-delay-aware,EmergencyTimelyRate,0.591575091575092,0.586080586080586,-0.00549450549450603
6,Link-delay-aware,LossRate,0.344425956738769,0.311148086522463,-0.033277870216306
6,Link-delay-aware,AvgDelay_s,0.0394801482654372,0.0406140595670221,0.0011339113015849
6,Link-delay-aware,AvgTxCost,2.84199667221298,3.32249584026622,0.48049916805324
7,Confidence-heuristic,TimelyRate,0.618968386023295,0.610648918469218,-0.00831946755407698
7,Confidence-heuristic,EmergencyTimelyRate,0.580586080586081,0.571428571428571,-0.00915750915751001
7,Confidence-heuristic,LossRate,0.336106489184692,0.319467554076539,-0.016638935108153
7,Confidence-heuristic,AvgDelay_s,0.0401528162169961,0.0410025214768737,0.000849705259877598
7,Confidence-heuristic,AvgTxCost,3.2298003327787,3.32149750415973,0.0916971713810297
7,Link-delay-aware,TimelyRate,0.628951747088186,0.610648918469218,-0.018302828618968
7,Link-delay-aware,EmergencyTimelyRate,0.591575091575092,0.571428571428571,-0.0201465201465211
7,Link-delay-aware,LossRate,0.341098169717138,0.319467554076539,-0.021630615640599
7,Link-delay-aware,AvgDelay_s,0.0397526701686761,0.0410025214768737,0.0012498513081976
7,Link-delay-aware,AvgTxCost,2.84199667221298,3.32149750415973,0.47950083194675
8,Confidence-heuristic,TimelyRate,0.618968386023295,0.608985024958403,-0.00998336106489195
8,Confidence-heuristic,EmergencyTimelyRate,0.580586080586081,0.56959706959707,-0.0109890109890109
8,Confidence-heuristic,LossRate,0.316139767054909,0.311148086522463,-0.00499168053244597
8,Confidence-heuristic,AvgDelay_s,0.0407374001401091,0.0412986071864066,0.000561207046297502
8,Confidence-heuristic,AvgTxCost,3.31126455906822,3.32149750415973,0.0102329450915097
8,Link-delay-aware,TimelyRate,0.617304492512479,0.608985024958403,-0.00831946755407598
8,Link-delay-aware,EmergencyTimelyRate,0.578754578754579,0.56959706959707,-0.00915750915750901
8,Link-delay-aware,LossRate,0.327787021630616,0.311148086522463,-0.016638935108153
8,Link-delay-aware,AvgDelay_s,0.0403557825933977,0.0412986071864066,0.000942824593008901
8,Link-delay-aware,AvgTxCost,2.84199667221298,3.32149750415973,0.47950083194675
9,Confidence-heuristic,TimelyRate,0.613976705490849,0.622296173044925,0.00831946755407598
9,Confidence-heuristic,EmergencyTimelyRate,0.575091575091575,0.584249084249084,0.0091575091575089
9,Confidence-heuristic,LossRate,0.342762063227953,0.319467554076539,-0.023294509151414
9,Confidence-heuristic,AvgDelay_s,0.0403069504950146,0.0409258553931434,0.000618904898128797
9,Confidence-heuristic,AvgTxCost,3.26863560732113,3.31730449251248,0.0486688851913502
9,Link-delay-aware,TimelyRate,0.617304492512479,0.622296173044925,0.00499168053244603
9,Link-delay-aware,EmergencyTimelyRate,0.578754578754579,0.584249084249084,0.00549450549450492
9,Link-delay-aware,LossRate,0.356073211314476,0.319467554076539,-0.036605657237937
9,Link-delay-aware,AvgDelay_s,0.0399814911133212,0.0409258553931434,0.000944364279822196
9,Link-delay-aware,AvgTxCost,2.84199667221298,3.31730449251248,0.4753078202995
10,Confidence-heuristic,TimelyRate,0.622296173044925,0.613976705490849,-0.00831946755407598
10,Confidence-heuristic,EmergencyTimelyRate,0.584249084249084,0.575091575091575,-0.0091575091575089
10,Confidence-heuristic,LossRate,0.316139767054909,0.309484193011647,-0.006655574043262
10,Confidence-heuristic,AvgDelay_s,0.0405430633389656,0.0410402145452388,0.000497151206273194
