Config,Profile,Vegetation,Variant,Method,Stage,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgDelayMean,AvgDelayStd,AvgDelayCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
FG_Curved_Dense_Base,Curved,Dense,Base,Confidence-driven,PosDeg_Emerg,0.955454545454545,0.0173813701814545,0.0107730848510744,0.0327272727272727,0.0201919166654033,0.0125150796094493,0.0254341149666708,0.00142279336976035,0.00088185646689285,2.92749090909091,0.0836061781276975,0.0518196460716741,0.918867924528302,0.0281968701527797,0.0174766011838776
FG_Curved_Dense_Base,Curved,Dense,Base,Confidence-driven,Recovery,0.983443708609272,0.0064359292437586,0.00398903027291259,0.00927152317880794,0.00463050264092779,0.0028700152711243,0.0177419734209627,0.000510084173041704,0.000316153445902187,2.53741721854305,0.115914271334056,0.0718444097039384,0.953703703703704,0.0179967651075472,0.0111545105779593
FG_Curved_Dense_Base,Curved,Dense,Base,Confidence-driven,Full,0.8261231281198,0.00613864215784213,0.00380476982806435,0.169883527454243,0.00681316478716669,0.0042228432850946,0.0182750207828098,0.000553026303957889,0.000342769254392338,1.99814143094842,0.0597164476047396,0.0370126376881964,0.936448598130841,0.0175121113053647,0.0108541190392141
FG_Curved_Dense_Base,Curved,Dense,Base,Oracle,Normal,0.4208,0.0354175097938859,0.021952,0.5792,0.0354175097938858,0.021952,0.0325431322754411,0.00475244970596387,0.00294559884510369,2.06072,0.158748326325386,0.0983932320418658,NaN,NaN,NaN
FG_Curved_Dense_Base,Curved,Dense,Base,Oracle,Coop_1,0.892,0.0112436539028209,0.00696888888888889,0.108,0.0112436539028209,0.00696888888888889,0.0140989567250732,0.00099606457340054,0.000617367218715736,1.36706666666667,0.0451993663235382,0.0280148574902236,NaN,NaN,NaN
FG_Curved_Dense_Base,Curved,Dense,Base,Oracle,LinkDeg_Emerg,0.987692307692308,0.00648672340547358,0.00402051282051281,0.0123076923076923,0.00648672340547357,0.00402051282051281,0.0131152941917152,0.000685540461043388,0.000424902379879411,1.67576923076923,0.10679913495354,0.0661947896434219,NaN,NaN,NaN
FG_Curved_Dense_Base,Curved,Dense,Base,Oracle,PosDeg_Emerg,0.966363636363636,0.0154812603326604,0.00959538456543966,0.0118181818181818,0.00862439361864103,0.00534545454545454,0.0276458604347456,0.000904183867803555,0.000560418967384605,3.23658181818182,0.0292572014790179,0.0181338013486841,0.939622641509434,0.0342175358710326,0.0212082484571114
FG_Curved_Dense_Base,Curved,Dense,Base,Oracle,Recovery,0.986754966887417,0.00441501103752758,0.00273645219158057,0.0066225165562914,0.00441501103752758,0.00273645219158057,0.0181789701826057,0.00041892077647793,0.000259649787315964,2.5503178807947,0.0801600716204412,0.0496837271296724,0.962962962962963,0.0123456790123457,0.00765193112830868
FG_Curved_Dense_Base,Curved,Dense,Base,Oracle,Full,0.841763727121464,0.0085366367868308,0.00529106229757745,0.152579034941764,0.00788474096283347,0.00488701307978463,0.0200066479146962,0.00080217764384226,0.000497194854751341,2.18418801996672,0.0478112606737154,0.0296337263804635,0.951401869158878,0.0180577903379308,0.011192334407618
FG_Curved_Dense_Plus,Curved,Dense,Plus,Link-delay-aware,Normal,1,0,0,0,0,0,0.0120368385389898,0.000188371584096481,0.000116753917430971,1.028,0.0423739962188552,0.0262636749565293,NaN,NaN,NaN
FG_Curved_Dense_Plus,Curved,Dense,Plus,Link-delay-aware,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,0.0120681379339573,0.000179188840385353,0.000111062393912808,1.98716666666667,0.0840489642712015,0.0520940877667217,1,0,0
FG_Curved_Dense_Plus,Curved,Dense,Plus,Link-delay-aware,LinkDeg_Emerg,0.953846153846154,0.0507666407005726,0.0314654898987663,0.0415384615384615,0.0497462330780627,0.0308330347018962,0.0189710437728157,0.00671646223334591,0.00416290642127138,2.55987692307692,0.102330523768202,0.0634251157360408,0.961517094017094,0.0463788930086397,0.0287459357038539
FG_Curved_Dense_Plus,Curved,Dense,Plus,Link-delay-aware,PosDeg_Emerg,0.718181818181818,0.12106051124508,0.0750340822468203,0.17,0.0786770782669775,0.0487645583263125,0.0468124466245217,0.00990595814360801,0.00613977646745855,3.26928181818182,0.308663338997586,0.191311519559309,0.714233766233766,0.123408921791096,0.0764896421833079
FG_Curved_Dense_Plus,Curved,Dense,Plus,Link-delay-aware,Recovery,0.99271523178808,0.00959693824250956,0.0059482439484195,0.00728476821192053,0.00959693824250956,0.0059482439484195,0.0125390279375454,0.000847994211051143,0.000525592257313591,2.03269536423841,0.0466730678892231,0.028928267183852,0.913333333333333,0.175752351019521,0.154053728001341
FG_Curved_Dense_Plus,Curved,Dense,Plus,Link-delay-aware,Full,0.941098169717138,0.0251389292942257,0.0155812698035058,0.037936772046589,0.0175530031679223,0.01087946407821,0.0183240762245796,0.00155358639460539,0.000962922823565222,2.09571547420965,0.0715729011927538,0.0443613437569957,0.812105295526311,0.0846261608835705,0.0524518379334743
FG_Curved_Dense_Plus,Curved,Dense,Plus,Confidence-driven,Normal,1,0,0,0,0,0,0.0120368385389898,0.000188371584096481,0.000116753917430971,1.028,0.0423739962188552,0.0262636749565293,NaN,NaN,NaN
