Config,Profile,Vegetation,Method,Stage,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgDelayMean,AvgDelayStd,AvgDelayCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
FG_curved_dense,curved,dense,Oracle,Full,0.871381031613977,0.00617860119429123,0.00382953669544818,0.128119800332779,0.00560150024312936,0.00347184582012604,0.0192796929913605,0.000599245770153256,0.000371416376333583,2.05681198003328,0.0451477452882993,0.0279828624411036,0.974766355140187,0.0146450582847889,0.00907710116658697
FG_curved_medium,curved,medium,Link-delay-aware,Normal,0.5816,0.0146302578393015,0.00906792775543441,0.4184,0.0146302578393015,0.00906792775543441,0.0149289976084862,0.000978431734234486,0.000606438271773226,1.0176,0,0,NaN,NaN,NaN
FG_curved_medium,curved,medium,Link-delay-aware,Coop_1,0.892666666666667,0.0066295261734116,0.00410902289307349,0.107333333333333,0.0066295261734116,0.00410902289307349,0.0124896575108801,0.000300838025867272,0.000186461340231729,1.01133333333333,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
FG_curved_medium,curved,medium,Link-delay-aware,LinkDeg_Emerg,0.992307692307692,0.00810840425684179,0.0050256410256409,0.00769230769230765,0.00810840425684196,0.005025641025641,0.0125396590489658,0.000489109831252098,0.000303153414176498,1.45169230769231,0,0,NaN,NaN,NaN
FG_curved_medium,curved,medium,Link-delay-aware,PosDeg_Emerg,0.960909090909091,0.00963045368610353,0.00596901703557488,0.0381818181818182,0.00938905053626043,0.00581939381315762,0.0159357661594455,0.000332206266986031,0.00020590357750494,2.30863636363636,0,0,0.949056603773585,0.0178996848688775,0.0110943396226414
FG_curved_medium,curved,medium,Link-delay-aware,Recovery,0.989403973509934,0.00946914374813575,0.00586903610018794,0.0105960264900662,0.00946914374813564,0.00586903610018787,0.013631533909448,0.000340380561118179,0.0002109700574984,2.09337748344371,0,0,0.975925925925926,0.0231789917969365,0.014366487957157
FG_curved_medium,curved,medium,Link-delay-aware,Full,0.875540765391015,0.00462710008089077,0.00286790634256418,0.124292845257903,0.00429973320983132,0.0026650022537302,0.0138538111662659,0.000151010803815561,9.35974659046034e-05,1.56956738768719,0,0,0.962616822429906,0.0170630080219679,0.010575761940296
FG_curved_medium,curved,medium,Confidence-driven,Normal,0.628,0.0248014336503177,0.0153720878362194,0.372,0.0248014336503177,0.0153720878362194,0.0199503406726288,0.00219386545696096,0.0013597718978967,1.3286,0.117496300461854,0.0728249615161786,NaN,NaN,NaN
FG_curved_medium,curved,medium,Confidence-driven,Coop_1,0.900666666666666,0.0066295261734118,0.00410902289307361,0.0993333333333334,0.0066295261734118,0.00410902289307361,0.0138665616595246,0.00062515705306733,0.000387476355870257,1.19768,0.0465570649450348,0.0288563678141436,NaN,NaN,NaN
FG_curved_medium,curved,medium,Confidence-driven,LinkDeg_Emerg,0.989230769230769,0.00743147525445593,0.00460607608313498,0.0107692307692307,0.00743147525445608,0.00460607608313507,0.0127864665582984,0.000555397793413546,0.00034423911878522,1.64443076923077,0.0908877048062272,0.0563327830645712,NaN,NaN,NaN
