Scene,SceneRole,GeometryType,Config,BaselineMethod,ProposedMethod,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10017,LongRange,LongMixed,ForestGeometry,DCC-like,Risk-constrained-v6,LossRate,0.478402662229617,0.00285713890208073,0.466688851913478,0.00571704567925901,-0.0117138103161397,-1.17138103161396,-0.012642250764493,-0.0107853698677863,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-2.03587700853542,Meaningful,8.90029543402881e-306,p < 1e-15,***
10017,LongRange,LongMixed,ForestGeometry,DCC-like,Risk-constrained-v6,AvgDelay,0.143173836327426,0.000670091630042181,0.124828476532242,0.00134376642670012,-0.0183453597951847,-12.8133465343699,-0.018550459649955,-0.0181402599404144,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-14.4333879221023,Meaningful,8.90029543402881e-306,p < 1e-15,***
10017,LongRange,LongMixed,ForestGeometry,DCC-like,Risk-constrained-v6,AvgTxCost,4.03926788685524,8.97195690676443e-16,3.00379567387687,0.0867734359268615,-1.03547221297837,-25.6351458230351,-1.04947434595188,-1.02147008000486,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-11.9330553402442,SeeDelta,8.90029543402881e-306,p < 1e-15,***
10017,LongRange,LongMixed,ForestGeometry,DCC-like,Risk-constrained-v6,EmgTimely,0.0216666666666667,0.0212143911184503,0.0244444444444445,0.0272858943455097,0.00277777777777778,0.277777777777778,-0.00168163559487304,0.00723719115042859,0.477243793649009,p = 0.4772,0.477243793649009,p = 0.4772,n.s.,n.s.,0.13960113960114,0.100514142206483,Below1pp,1,p = 1,n.s.
10013,HeldOutHighNLOS,ShortHighNLOS,Default,DCC-like,Risk-constrained-v6,TimelyRate,0.999900166389351,0.000399164621434354,0.992445923460898,0.0031927861233342,-0.00745424292845265,-0.745424292845254,-0.00796666717351719,-0.00694181868338811,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-2.3473685162631,Below1pp,8.90029543402881e-306,p < 1e-15,***
10013,HeldOutHighNLOS,ShortHighNLOS,Default,DCC-like,Risk-constrained-v6,LossRate,9.98336106489186e-05,0.000399164621434435,0.00755407653910149,0.00319278612333425,0.00745424292845257,0.745424292845257,0.00694181868338803,0.00796666717351712,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,2.34736851626305,Below1pp,8.90029543402881e-306,p < 1e-15,***
10013,HeldOutHighNLOS,ShortHighNLOS,Default,DCC-like,Risk-constrained-v6,AvgDelay,0.0405086933988796,0.000336328993563431,0.0134169495414515,0.000541733149852557,-0.0270917438574281,-66.8788390448985,-0.0271801175592573,-0.0270033701555989,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-49.4676542813175,Meaningful,8.90029543402881e-306,p < 1e-15,***
10013,HeldOutHighNLOS,ShortHighNLOS,Default,DCC-like,Risk-constrained-v6,AvgTxCost,4.60470881863561,8.97195690676443e-16,3.04284525790349,4.48597845338221e-16,-1.56186356073212,-33.9188344420637,-1.56186356073212,-1.56186356073212,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-Inf,SeeDelta,8.90029543402881e-306,p < 1e-15,***
10013,HeldOutHighNLOS,ShortHighNLOS,Default,DCC-like,Risk-constrained-v6,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10013,HeldOutHighNLOS,ShortHighNLOS,ForestGeometry,DCC-like,Risk-constrained-v6,TimelyRate,0.544093178036606,0.00773161681354441,0.552811980033278,0.00737679455933321,0.00871880199667227,0.87188019966723,0.00757509420176384,0.00986250979158071,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,0.909863945578231,1.2301246954032,Below1pp,8.90029543402881e-306,p < 1e-15,***
