Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Candidate,TimelyRate,EmergencyTimely,AvgDelay,AvgTxCost,TimelyGainVsHeuristic_pp,EmergencyGainVsHeuristic_pp,TimelyGainVsLink_pp,CostDeltaVsProposedPct,TimelyDeltaVsProposed_pp
10006,Reference,Mixed,Medium,Mixed,Default,TimelyLow,0.98369384359401,0.999342105263158,0.0195091198301267,2.5583693843594,0.166389351081531,0,3.62728785357737,0,0
10006,Reference,Mixed,Medium,Mixed,Default,TimelyHigh,0.98369384359401,0.999342105263158,0.0195091198301267,2.5583693843594,0.166389351081531,0,3.62728785357737,0,0
10006,Reference,Mixed,Medium,Mixed,Default,ProtectLow,0.98369384359401,0.999342105263158,0.0195091198301267,2.55813643926788,0.166389351081531,0,3.62728785357737,-0.00910521728949926,0
10006,Reference,Mixed,Medium,Mixed,Default,ProtectHigh,0.98369384359401,0.999342105263158,0.0195091198301267,2.55883527454242,0.166389351081531,0,3.62728785357737,0.0182104345790159,0
10006,Reference,Mixed,Medium,Mixed,Default,EmergencyFloorLow,0.98369384359401,0.999342105263158,0.0195091198301267,2.5583693843594,0.166389351081531,0,3.62728785357737,0,0
10006,Reference,Mixed,Medium,Mixed,Default,EmergencyFloorHigh,0.98369384359401,0.999342105263158,0.0195091198301267,2.86186356073211,0.166389351081531,0,3.62728785357737,11.8627973829006,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Proposed,0.707487520798669,0.800657894736842,0.087921668841903,2.94114475873543,0.199667221297839,0.065789473684208,1.36439267886855,0,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,TimelyLow,0.707487520798669,0.800657894736842,0.087921668841903,2.94114475873543,0.199667221297839,0.065789473684208,1.36439267886855,0,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,TimelyHigh,0.707487520798669,0.800657894736842,0.087921668841903,2.94114475873543,0.199667221297839,0.065789473684208,1.36439267886855,0,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,ProtectLow,0.707487520798669,0.800657894736842,0.087921668841903,2.94091181364392,0.199667221297839,0.065789473684208,1.36439267886855,-0.0079202185075074,0
