Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,TimelyRateMean,TimelyRateCI95,EmergencyTimelyRateMean,EmergencyTimelyRateCI95,LossRateMean,LossRateCI95,AvgDelayMean,AvgDelayCI95,AvgTxCostMean,AvgTxCostCI95
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ForestGeometry,AoI-aware,0.553843594009983,0.00250024644896426,0.607192660550459,0.00257258584491697,0.394442595673877,0.00289813653078404,0.0572719968658033,0.00011284690157388,3.42742096505823,0
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,Default,Link-delay-aware,0.956173044925125,0.00202993437161483,1,0,0.0438269550748752,0.00202993437161482,0.0309477481672359,0.000720504666143854,2.25732113144759,0
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,Default,Confidence-heuristic,0.995108153078203,0.000654969357180859,1,0,0.004891846921797,0.000654969357180856,0.0197321401951716,0.000226588796337353,2.74945424292845,0.00430111552954156
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,Default,Risk-constrained-v6,0.995740432612313,0.000646631406377575,1,0,0.00425956738768719,0.000646631406377542,0.0211206018161471,0.00018254902148581,2.82916472545756,0.00234519492873547
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,Default,Constrained Oracle,0.997038269550749,0.000584056107072259,1,0,0.00296173044925125,0.000584056107072232,0.021113762352196,0.000206844010517382,2.68355740432613,0.0032653955443231
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,Default,DCC-like,0.92675540765391,0.00211555186705875,1,0,0.0732445923460899,0.00211555186705873,0.0658953717491392,0.000793262909374046,4.83183028286191,4.9737991503207e-16
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,Default,AoI-aware,0.977870216306156,0.00121578593617173,0.999294117647059,0.000421852890936751,0.0221297836938436,0.0012157859361717,0.0262002448452387,0.000430642926036842,2.29806988352745,1.24344978758018e-16
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ForestGeometry,Link-delay-aware,0.851580698835275,0.00164056862604478,1,0,0.148419301164725,0.00164056862604478,0.0620569318230706,0.000411795703459373,2.19376039933445,1.24344978758018e-16
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ForestGeometry,Confidence-heuristic,0.864193011647254,0.000994389091619802,1,0,0.135806988352745,0.000994389091619799,0.0595239388487983,0.000258158756682038,2.4700316139767,0.00791531885198497
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ForestGeometry,Risk-constrained-v6,0.865391014975042,0.00111522082429419,1,0,0.134608985024958,0.00111522082429419,0.0584032596812939,0.000274461100522315,2.69273277870216,0.00695894242132363
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ForestGeometry,Constrained Oracle,0.869883527454243,0.00107861375466933,1,0,0.130116472545757,0.00107861375466932,0.0581193257399129,0.000289320411609258,2.66508153078203,0.00583931047107064
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ForestGeometry,DCC-like,0.870049916805325,0.000458848616389802,1,0,0.129950083194675,0.000458848616389804,0.0841072553873806,0.000170919847945974,4.82134309484194,0.000635394989719651
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ForestGeometry,AoI-aware,0.85630615640599,0.00188155044023756,0.999294117647059,0.000421852890936751,0.14369384359401,0.00188155044023756,0.0613214261979233,0.000476149149416612,2.29806988352745,1.24344978758018e-16
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,Default,Link-delay-aware,0.975873544093178,0.00172631016566446,1,0,0.0241264559068219,0.00172631016566445,0.0242858872858547,0.000700601742839962,1.10848585690516,0
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,Default,Confidence-heuristic,0.996738768718802,0.000638524549181158,1,0,0.003261231281198,0.000638524549181139,0.0159864444444697,0.000271805487398061,1.35725956738769,0.00512736056339919
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,Default,Risk-constrained-v6,0.996905158069883,0.000551327442781566,1,0,0.00309484193011647,0.000551327442781545,0.0158255531077818,0.000230075476961602,1.34265956738769,0.00393586688716859
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,Default,Constrained Oracle,0.998302828618968,0.000421778593460495,1,0,0.00169717138103161,0.000421778593460466,0.0161485148812511,0.000206979892423848,1.36696505823627,0.00417829121720812
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,Default,DCC-like,0.963926788685524,0.00152379567576509,1,0,0.0360732113144758,0.00152379567576511,0.0291614428795917,0.000646148553741309,1.78159733777038,1.24344978758018e-16
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,Default,AoI-aware,0.982129783693844,0.00113283188293999,0.998461538461538,0.00301538461538462,0.0178702163061564,0.00113283188293997,0.0232924526344327,0.000508814356217206,1.29074875207987,6.21724893790088e-17
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ForestGeometry,Link-delay-aware,0.842196339434276,0.00274260176596337,0.998461538461538,0.00301538461538462,0.157803660565724,0.00274260176596337,0.0865046136503654,0.00131835286270449,1.09043261231281,0
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ForestGeometry,Confidence-heuristic,0.880332778702163,0.00255491389851681,1,0,0.119667221297837,0.00255491389851681,0.0703733814035259,0.00118685824940104,1.33498735440932,0.00819291823802731
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ForestGeometry,Risk-constrained-v6,0.908219633943428,0.00185506215232626,1,0,0.0917803660565724,0.00185506215232629,0.0557947256975844,0.000857544360985612,1.50821397670549,0.00667443977747645
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ForestGeometry,Constrained Oracle,0.913544093178037,0.00151097890294174,0.998461538461538,0.00301538461538462,0.0864559068219634,0.00151097890294173,0.0538976842624461,0.000703779837569268,1.53343261231281,0.00574739776009883
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ForestGeometry,DCC-like,0.91630615640599,0.00132184794294543,1,0,0.08369384359401,0.00132184794294546,0.0525150340973391,0.000615925537692549,1.74829783693843,0.000260265871928882
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ForestGeometry,AoI-aware,0.859567387687188,0.0023883404812202,0.986153846153846,0.0082748067068363,0.140432612312812,0.0023883404812202,0.079442357288877,0.00115519172958098,1.38299500831947,6.21724893790088e-17
